synthetic_data,feature,ks_statistic,ks_pvalue,interpretation
CTGAN,Pregnancies,0.30781758957654726,4.3804166518114466e-26,Poor
CTGAN,Glucose,0.33876221498371334,1.2943158510957538e-31,Poor
CTGAN,BloodPressure,0.26058631921824105,9.958418361493778e-19,Moderate
CTGAN,SkinThickness,0.18241042345276873,2.4315391508704113e-09,Moderate
CTGAN,Insulin,0.38762214983713356,1.5920588959794644e-41,Poor
CTGAN,BMI,0.20684039087947884,6.597555471331756e-12,Moderate
CTGAN,DiabetesPedigreeFunction,0.08957654723127036,0.014463209099393273,Good
CTGAN,Age,0.26221498371335505,5.833705724023453e-19,Moderate
CTGAN,correlation_distance,1.8426676740313992,,Moderate
TVAE,Pregnancies,0.11400651465798045,0.000676790201897686,Moderate
TVAE,Glucose,0.21172638436482086,1.846393934886456e-12,Moderate
TVAE,BloodPressure,0.09120521172638436,0.012067067282848797,Good
TVAE,SkinThickness,0.18729641693811075,7.92500227410117e-10,Moderate
TVAE,Insulin,0.28338762214983715,4.056218593325187e-22,Moderate
TVAE,BMI,0.09771986970684039,0.005658381534727201,Moderate
TVAE,DiabetesPedigreeFunction,0.34039087947882735,6.385081841371519e-32,Poor
TVAE,Age,0.16449511400651465,1.1447613443843526e-07,Moderate
TVAE,correlation_distance,0.5679667867980935,,Good
TabDDPM,Pregnancies,0.5504885993485342,7.88591958431132e-86,Poor
TabDDPM,Glucose,0.08957654723127036,0.014463209099393273,Good
TabDDPM,BloodPressure,0.07166123778501629,0.08542178730313602,Excellent
TabDDPM,SkinThickness,0.18241042345276873,2.4315391508704113e-09,Moderate
TabDDPM,Insulin,0.2736156351791531,1.2521313925608586e-20,Moderate
TabDDPM,BMI,0.05374592833876222,0.33799099136880123,Excellent
TabDDPM,DiabetesPedigreeFunction,0.13517915309446255,2.6142989935545234e-05,Moderate
TabDDPM,Age,0.6123778501628665,9.324442762035904e-108,Poor
TabDDPM,correlation_distance,1.6818549161780387,,Moderate
